ticker,cik,accession_number,period_end,form_type,status,sections_located,sections_total,fill_rate,attempts,last_error,updated_at
BMY,14272,0000014272-25-000149,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-11T22:22:39Z
BMY,14272,0000014272-26-000004,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-11T22:22:39Z
BMY,14272,0000014272-26-000010,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-11T22:22:39Z
BR,1383312,0001628280-25-021409,2025-03-31,10-Q,staged,2,3,0.35,0,,2026-06-12T12:39:12Z
BR,1383312,0001628280-25-037656,2025-06-30,10-K,staged,2,3,0.59,0,,2026-06-12T12:39:12Z
BR,1383312,0001628280-25-048668,2025-09-30,10-Q,staged,2,3,0.35,0,,2026-06-12T12:39:12Z
BR,1383312,0001628280-26-004859,2025-12-31,10-Q,staged,2,3,0.35,0,,2026-06-12T12:39:12Z
BR,1383312,0001628280-26-028675,2026-03-31,10-Q,staged,2,3,0.35,0,,2026-06-12T12:39:12Z
BSX,885725,0000885725-25-000026,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
BSX,885725,0000885725-25-000041,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
BSX,885725,0000885725-25-000050,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
BSX,885725,0000885725-26-000010,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
BSX,885725,0000885725-26-000033,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
CAG,23217,0001558370-25-004399,2025-02-23,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:14Z
CAG,23217,0001558370-25-009180,2025-05-25,10-K,committed,2,3,0.42,0,,2026-06-12T12:39:14Z
CAG,23217,0001104659-25-095651,2025-08-24,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:14Z
CAG,23217,0001104659-25-123200,2025-11-23,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:14Z
CAG,23217,0001104659-26-038548,2026-02-22,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:14Z
CAH,721371,0000721371-25-000038,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CAH,721371,0000721371-25-000079,2025-06-30,10-K,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CAH,721371,0000721371-25-000130,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CAH,721371,0000721371-26-000006,2025-12-31,10-Q,committed,2,3,0.15,0,,2026-06-12T18:24:11Z
CAH,721371,0000721371-26-000018,2026-03-31,10-Q,committed,2,3,0.15,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-25-000030,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-25-000052,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-25-000066,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-26-000008,2025-12-31,10-K,committed,2,3,0.59,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-26-000026,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CAT,18230,0000018230-25-000016,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CAT,18230,0000018230-25-000040,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CAT,18230,0000018230-25-000048,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CAT,18230,0000018230-26-000008,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CAT,18230,0000018230-26-000021,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CCL,815097,0000815097-25-000025,2025-02-28,10-Q,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CCL,815097,0000815097-25-000052,2025-05-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CCL,815097,0000815097-25-000084,2025-08-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CCL,815097,0000815097-26-000007,2025-11-30,10-K,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CCL,815097,0000815097-26-000037,2026-02-28,10-Q,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CDNS,813672,0000813672-25-000051,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDNS,813672,0000813672-25-000113,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDNS,813672,0000813672-25-000148,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDNS,813672,0000813672-26-000016,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDNS,813672,0000813672-26-000047,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-25-000096,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-25-000145,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-25-000193,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-26-000011,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-26-000025,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CEG,1868275,0001868275-25-000044,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CEG,1868275,0001868275-25-000073,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CEG,1868275,0001868275-25-000092,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CEG,1868275,0001868275-26-000032,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CEG,1868275,0001868275-26-000067,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-25-000015,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-25-000024,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-25-000030,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-26-000007,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-26-000013,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CHD,313927,0000950170-25-061624,2025-03-31,10-Q,staged,3,3,1.00,0,,2026-06-13T06:21:22Z
CHD,313927,0000950170-25-101235,2025-06-30,10-Q,staged,2,3,0.35,0,,2026-06-13T06:21:22Z
CHD,313927,0001193125-25-260515,2025-09-30,10-Q,staged,2,3,0.31,0,,2026-06-13T06:21:22Z
CHD,313927,0001193125-26-048139,2025-12-31,10-K,staged,3,3,1.00,0,,2026-06-13T06:21:22Z
CHD,313927,0001193125-26-200630,2026-03-31,10-Q,staged,2,3,0.31,0,,2026-06-13T06:21:22Z
CHRW,1043277,0001043277-25-000022,2025-03-31,10-Q,staged,3,3,1.00,0,,2026-06-13T12:20:57Z
CHRW,1043277,0001043277-25-000037,2025-06-30,10-Q,staged,2,3,0.00,0,,2026-06-13T12:20:57Z
CHRW,1043277,0001043277-25-000052,2025-09-30,10-Q,staged,2,3,0.00,0,,2026-06-13T12:20:57Z
CHRW,1043277,0001043277-26-000009,2025-12-31,10-K,staged,2,3,0.20,0,,2026-06-13T12:20:57Z
CHRW,1043277,0001043277-26-000016,2026-03-31,10-Q,staged,2,3,0.00,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-25-000099,2025-03-31,10-Q,staged,2,3,0.21,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-25-000127,2025-06-30,10-Q,staged,2,3,0.21,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-25-000168,2025-09-30,10-Q,staged,2,3,0.21,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-26-000017,2025-12-31,10-K,staged,3,3,1.00,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-26-000028,2026-03-31,10-Q,staged,2,3,0.21,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-25-000021,2025-03-31,10-Q,staged,2,3,0.43,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-25-000028,2025-06-30,10-Q,staged,2,3,0.43,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-25-000037,2025-09-30,10-Q,staged,2,3,0.43,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-26-000006,2025-12-31,10-K,staged,3,3,1.00,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-26-000043,2026-03-31,10-Q,staged,2,3,0.43,0,,2026-06-13T12:20:57Z
CL,21665,0000021665-25-000020,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:44Z
CL,21665,0000021665-25-000041,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:44Z
CL,21665,0000021665-25-000053,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:44Z
CL,21665,0000021665-26-000006,2025-12-31,10-K,committed,2,3,0.21,0,,2026-06-13T18:16:44Z
CL,21665,0000021665-26-000023,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:44Z
CLX,21076,0000021076-25-000023,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CLX,21076,0000021076-25-000039,2025-06-30,10-K,committed,1,3,0.04,0,,2026-06-13T18:16:45Z
CLX,21076,0000021076-25-000053,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CLX,21076,0000021076-26-000010,2025-12-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CLX,21076,0000021076-26-000019,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001166691-25-000021,2025-03-31,10-Q,committed,3,3,n/a,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001166691-25-000036,2025-06-30,10-Q,committed,3,3,n/a,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001166691-25-000054,2025-09-30,10-Q,committed,3,3,n/a,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001628280-26-004994,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001628280-26-026805,2026-03-31,10-Q,committed,3,3,n/a,0,,2026-06-13T18:16:45Z
CMG,1058090,0001058090-25-000031,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:38Z
CMG,1058090,0001058090-25-000056,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:38Z
CMG,1058090,0001058090-25-000088,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:38Z
CMG,1058090,0001058090-26-000009,2025-12-31,10-K,committed,2,3,0.08,0,,2026-06-14T00:19:38Z
CMG,1058090,0001058090-26-000028,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:38Z
CMI,26172,0000026172-25-000013,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:39Z
CMI,26172,0000026172-25-000031,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:39Z
CMI,26172,0000026172-25-000039,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:39Z
CMI,26172,0000026172-26-000009,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-14T00:19:39Z
CMI,26172,0000026172-26-000016,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:39Z
CMS,811156,0000811156-25-000047,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:40Z
CMS,811156,0000811156-25-000071,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:40Z
CMS,811156,0000811156-25-000077,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:40Z
CMS,811156,0000811156-26-000004,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-14T00:19:40Z
CMS,811156,0000811156-26-000024,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:40Z
CNC,1071739,0001071739-25-000086,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:38Z
CNC,1071739,0001071739-25-000150,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:38Z
CNC,1071739,0001071739-25-000183,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:38Z
CNC,1071739,0001071739-26-000049,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-14T06:22:38Z
CNC,1071739,0001071739-26-000098,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:38Z
CNP,1130310,0001130310-25-000079,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:39Z
CNP,1130310,0001130310-25-000113,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:39Z
CNP,1130310,0001130310-25-000143,2025-09-30,10-Q/A,committed,3,3,1.00,0,,2026-06-14T06:22:39Z
CNP,1130310,0001130310-25-000137,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:39Z
CNP,1130310,0001130310-26-000008,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-14T06:22:39Z
CNP,1130310,0001130310-26-000028,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:39Z
COP,1163165,0001163165-25-000025,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:40Z
COP,1163165,0001163165-25-000042,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:40Z
COP,1163165,0001163165-25-000058,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:40Z
COP,1163165,0001163165-26-000009,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-14T06:22:40Z
COP,1163165,0001163165-26-000018,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T06:22:40Z
COR,1140859,0001140859-25-000083,2025-03-31,10-Q,staged,2,3,0.00,0,,2026-06-14T12:21:15Z
COR,1140859,0001140859-25-000122,2025-06-30,10-Q,staged,2,3,0.09,0,,2026-06-14T12:21:15Z
COR,1140859,0001140859-25-000131,2025-09-30,10-K,staged,2,3,0.21,0,,2026-06-14T12:21:15Z
COR,1140859,0001140859-26-000006,2025-12-31,10-Q,staged,2,3,0.00,0,,2026-06-14T12:21:15Z
COR,1140859,0001140859-26-000020,2026-03-31,10-Q,staged,2,3,0.00,0,,2026-06-14T12:21:15Z
COST,909832,0000909832-25-000015,2025-02-16,10-Q,committed,3,3,1.00,0,,2026-06-14T12:21:15Z
COST,909832,0000909832-25-000033,2025-05-11,10-Q,committed,3,3,1.00,0,,2026-06-14T12:21:15Z
COST,909832,0000909832-25-000101,2025-08-31,10-K,committed,2,3,0.42,0,,2026-06-14T12:21:15Z
COST,909832,0000909832-25-000169,2025-11-23,10-Q,committed,3,3,1.00,0,,2026-06-14T12:21:15Z
COST,909832,0000909832-26-000029,2026-02-15,10-Q,committed,3,3,1.00,0,,2026-06-14T12:21:15Z
COST,909832,0000909832-26-000051,2026-05-10,10-Q,committed,3,3,1.00,0,,2026-06-14T12:21:15Z
CPB,16732,0000016732-25-000026,2025-01-26,10-Q,committed,3,3,1.00,0,,2026-06-14T12:21:16Z
CPB,16732,0000016732-25-000064,2025-04-27,10-Q,committed,3,3,1.00,0,,2026-06-14T12:21:16Z
CPB,16732,0000016732-25-000112,2025-08-03,10-K,committed,3,3,1.00,0,,2026-06-14T12:21:16Z
CPB,16732,0000016732-25-000126,2025-11-02,10-Q,committed,2,3,0.63,0,,2026-06-14T12:21:16Z
CPB,16732,0000016732-26-000006,2026-02-01,10-Q,committed,2,3,0.64,0,,2026-06-14T12:21:16Z
CPB,16732,0000016732-26-000012,2026-05-03,10-Q,committed,2,3,0.64,0,,2026-06-14T12:21:16Z
CPRT,900075,0000900075-25-000007,2025-01-31,10-Q,committed,2,3,0.07,0,,2026-06-14T18:24:40Z
CPRT,900075,0001628280-25-029093,2025-04-30,10-Q,committed,2,3,0.07,0,,2026-06-14T18:24:40Z
CPRT,900075,0001628280-25-042946,2025-07-31,10-K,committed,3,3,1.00,0,,2026-06-14T18:24:40Z
CPRT,900075,0001193125-25-291660,2025-10-31,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:40Z
CPRT,900075,0001193125-26-088593,2026-01-31,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:40Z
CPRT,900075,0001193125-26-245578,2026-04-30,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:40Z
CRL,1100682,0001100682-25-000021,2025-03-29,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:40Z
CRL,1100682,0001100682-25-000034,2025-06-28,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:40Z
CRL,1100682,0001100682-25-000043,2025-09-27,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:40Z
CRL,1100682,0001100682-26-000022,2025-12-27,10-K,committed,3,3,1.00,0,,2026-06-14T18:24:40Z
CRL,1100682,0001100682-26-000038,2026-03-28,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:40Z
CRM,1108524,0001108524-25-000006,2025-01-31,10-K,committed,2,3,0.35,0,,2026-06-14T18:24:42Z
CRM,1108524,0001108524-25-000030,2025-04-30,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:42Z
CRM,1108524,0001108524-25-000088,2025-07-31,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:42Z
CRM,1108524,0001108524-25-000238,2025-10-31,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:42Z
CRM,1108524,0001108524-26-000060,2026-01-31,10-K,committed,2,3,0.35,0,,2026-06-14T18:24:42Z
CRM,1108524,0001108524-26-000127,2026-04-30,10-Q,committed,3,3,1.00,0,,2026-06-14T18:24:42Z
CRWD,1535527,0001535527-25-000009,2025-01-31,10-K,staged,2,3,0.39,0,,2026-06-15T06:23:55Z
CRWD,1535527,0001535527-25-000019,2025-04-30,10-Q,staged,2,3,0.12,0,,2026-06-15T06:23:55Z
CRWD,1535527,0001535527-25-000025,2025-07-31,10-Q,staged,3,3,1.00,0,,2026-06-15T06:23:55Z
CRWD,1535527,0001535527-25-000033,2025-10-31,10-Q,staged,3,3,1.00,0,,2026-06-15T06:23:55Z
CRWD,1535527,0001535527-26-000010,2026-01-31,10-K,staged,2,3,0.39,0,,2026-06-15T06:23:55Z
CRWD,1535527,0001535527-26-000025,2026-04-30,10-Q,staged,2,3,0.12,0,,2026-06-15T06:23:55Z
CSCO,858877,0000858877-25-000007,2025-01-25,10-Q,committed,3,3,1.00,0,,2026-06-15T06:23:57Z
CSCO,858877,0000858877-25-000033,2025-04-26,10-Q,committed,3,3,1.00,0,,2026-06-15T06:23:57Z
CSCO,858877,0000858877-25-000111,2025-07-26,10-K,committed,2,3,0.65,0,,2026-06-15T06:23:57Z
CSCO,858877,0000858877-25-000171,2025-10-25,10-Q,committed,3,3,1.00,0,,2026-06-15T06:23:57Z
CSCO,858877,0000858877-26-000021,2026-01-24,10-Q,committed,3,3,1.00,0,,2026-06-15T06:23:57Z
CSCO,858877,0000858877-26-000078,2026-04-25,10-Q,committed,3,3,1.00,0,,2026-06-15T06:23:57Z
CSX,277948,0000277948-25-000028,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-15T06:23:58Z
CSX,277948,0000277948-25-000044,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-15T06:23:58Z
CSX,277948,0000277948-25-000054,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-15T06:23:58Z
CSX,277948,0000277948-26-000006,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-15T06:23:58Z
CSX,277948,0000277948-26-000014,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-15T06:23:58Z
CTAS,723254,0001628280-25-016483,2025-02-28,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:20Z
CTAS,723254,0000723254-25-000017,2025-05-31,10-K,committed,3,3,1.00,0,,2026-06-15T12:21:20Z
CTAS,723254,0000723254-25-000033,2025-08-31,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:20Z
CTAS,723254,0000723254-26-000002,2025-11-30,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:20Z
CTAS,723254,0000723254-26-000012,2026-02-28,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:20Z
CTRA,858470,0000858470-25-000111,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:22Z
CTRA,858470,0000858470-25-000165,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:22Z
CTRA,858470,0000858470-25-000199,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:22Z
CTRA,858470,0000858470-26-000078,2025-12-31,10-K/A,committed,3,3,n/a,0,,2026-06-15T12:21:22Z
CTRA,858470,0000858470-26-000073,2025-12-31,10-K,committed,2,3,0.50,0,,2026-06-15T12:21:22Z
CTRA,858470,0000858470-26-000082,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:22Z
CTSH,1058290,0001058290-25-000125,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:22Z
CTSH,1058290,0001058290-25-000267,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:22Z
CTSH,1058290,0001058290-25-000341,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:22Z
CTSH,1058290,0001058290-26-000008,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-15T12:21:22Z
CTSH,1058290,0001058290-26-000016,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-15T12:21:22Z
CTVA,1755672,0001755672-25-000011,2025-03-31,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CTVA,1755672,0001755672-25-000017,2025-06-30,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CTVA,1755672,0001755672-25-000022,2025-09-30,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CTVA,1755672,0001755672-26-000004,2025-12-31,10-K,located,3,3,,0,,2026-06-15T16:07:02Z
CTVA,1755672,0001755672-26-000010,2026-03-31,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CVNA,1690820,0001690820-25-000161,2025-03-31,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CVNA,1690820,0001690820-25-000312,2025-06-30,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CVNA,1690820,0001690820-25-000353,2025-09-30,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CVNA,1690820,0001690820-26-000009,2025-12-31,10-K,located,3,3,,0,,2026-06-15T16:16:00Z
CVNA,1690820,0001690820-26-000035,2026-03-31,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CVS,64803,0000064803-25-000013,2025-03-31,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CVS,64803,0000064803-25-000024,2025-06-30,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CVS,64803,0000064803-25-000037,2025-09-30,10-Q,located,3,3,,0,,2026-06-15T16:16:00Z
CVS,64803,0000064803-26-000010,2025-12-31,10-K,located,2,3,,0,,2026-06-15T16:16:00Z
CVS,64803,0000064803-26-000052,2026-03-31,10-Q,located,2,3,,0,,2026-06-15T16:16:00Z
META,1326801,0001326801-25-000054,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
META,1326801,0001628280-25-036791,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
META,1326801,0001628280-25-047240,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
META,1326801,0001628280-26-003942,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
META,1326801,0001628280-26-028526,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
MSFT,789019,0000950170-25-061046,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
MSFT,789019,0000950170-25-100235,2025-06-30,10-K,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
MSFT,789019,0001193125-25-256321,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
MSFT,789019,0001193125-26-027207,2025-12-31,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
MSFT,789019,0001193125-26-191507,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
NUE,73309,0000950170-25-071567,2025-04-05,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
NUE,73309,0000950170-25-107646,2025-07-05,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
NUE,73309,0001193125-25-276207,2025-10-04,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
NUE,73309,0001193125-26-071575,2025-12-31,10-K,committed,2,3,0.45,0,,2026-06-10T19:18:17Z
NUE,73309,0001193125-26-220778,2026-04-04,10-Q,committed,3,3,1.00,0,,2026-06-10T19:18:17Z
